Title,Link,Remote Testing,Adaptive/IRT,Duration (In Minutes),Test Keys,ID,Test Type,text_for_embedding
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,20.0,K,14,Knowledge,"Adobe Photoshop CC - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 20.0 mins."
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,10.0,K,15,Knowledge,"Aeronautical Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,No,10.0,K,16,Knowledge,"Aerospace Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,No,7.0,K,17,Knowledge,"Agile Software Development - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,No,13.0,K,18,Knowledge,"Agile Testing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,No,16.0,P,19,Personality,"AI Skills - Personality. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,6.0,K,20,Knowledge,"Amazon Web Services (AWS) Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,No,7.0,K,21,Knowledge,"Android Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,No,11.0,K,22,Knowledge,"Angular 6 (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,No,9.0,K,23,Knowledge,"AngularJS (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,No,7.0,K,24,Knowledge,"Apache Hadoop (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,9.0,K,25,Knowledge,"Apache Hadoop Extensions (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,Yes,No,5.0,K,26,Knowledge,"Apache HBase (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,Yes,No,5.0,K,27,Knowledge,"Apache Hive (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,Yes,No,6.0,K,28,Knowledge,"Apache Kafka (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,Yes,No,6.0,K,29,Knowledge,"Apache Pig (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,Yes,No,8.0,K,30,Knowledge,"Apache Spark (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,Yes,No,13.0,K,31,Knowledge,"ASP .NET with C# (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,Yes,Yes,30.0,K,32,Knowledge,"ASP.NET 4.5 - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 30.0 mins."
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,,E,33,E,"Assessment and Development Center Exercises - E. Remote: Yes, Adaptive: No, Duration: nan mins."
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,Yes,No,20.0,S,34,Situational,"Automata - Fix (New) - Situational. Remote: Yes, Adaptive: No, Duration: 20.0 mins."
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,Yes,No,30.0,S,35,Situational,"Automata - SQL (New) - Situational. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,Yes,No,45.0,S,36,Situational,"Automata (New) - Situational. Remote: Yes, Adaptive: No, Duration: 45.0 mins."
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,Yes,No,60.0,S,37,Situational,"Automata Data Science (New) - Situational. Remote: Yes, Adaptive: No, Duration: 60.0 mins."
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,Yes,No,60.0,S,38,Situational,"Automata Data Science Pro (New) - Situational. Remote: Yes, Adaptive: No, Duration: 60.0 mins."
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,Yes,No,30.0,S,39,Situational,"Automata Front End - Situational. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,Yes,No,60.0,S,40,Situational,"Automata Pro (New) - Situational. Remote: Yes, Adaptive: No, Duration: 60.0 mins."
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,Yes,No,60.0,S,41,Situational,"Automata Selenium - Situational. Remote: Yes, Adaptive: No, Duration: 60.0 mins."
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,Yes,No,8.0,K,42,Knowledge,"Automation Anywhere RPA Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,Yes,No,13.0,K,43,Knowledge,"Automotive Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,Yes,No,6.0,K,44,Knowledge,"Basic Biology (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Yes,No,30.0,"S, K",45,"Situational, Knowledge","Basic Computer Literacy (Windows 10) (New) - Situational, Knowledge. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,Yes,No,10.0,K,46,Knowledge,"Basic Statistics (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,Yes,No,8.0,K,47,Knowledge,"Biochemistry (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,Yes,No,5.0,K,48,Knowledge,"Biotech Lab Techniques (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,Yes,No,16.0,K,49,Knowledge,"BizTalk (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 16.0 mins."
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,Yes,Yes,24.0,K,50,Knowledge,"Business Communication (adaptive) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 24.0 mins."
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,35.0,K,51,Knowledge,"Business Communications - Knowledge. Remote: Yes, Adaptive: No, Duration: 35.0 mins."
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,Yes,No,10.0,K,52,Knowledge,"C Programming (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,Yes,No,9.0,K,53,Knowledge,"C# Programming (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,Yes,No,10.0,K,54,Knowledge,"C++ Programming (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,Yes,No,4.0,K,55,Knowledge,"Cardiology and Diabetes Management (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 4.0 mins."
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,Yes,No,12.0,K,56,Knowledge,"Ceramic Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,Yes,No,13.0,K,57,Knowledge,"Chemical Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,Yes,No,9.0,K,58,Knowledge,"Cisco AppDynamics (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,Yes,No,10.0,K,59,Knowledge,"Civil Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,Yes,No,8.0,K,60,Knowledge,"Cloud Computing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,10.0,K,61,Knowledge,"COBOL Programming (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,12.0,K,62,Knowledge,"Computer Science (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,15.0,S,63,Situational,"Contact Center Call Simulation (New) - Situational. Remote: Yes, Adaptive: No, Duration: 15.0 mins."
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,11.0,S,64,Situational,"Conversational Multichat Simulation - Situational. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,13.0,K,65,Knowledge,"Core Java (Advanced Level) (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,13.0,K,66,Knowledge,"Core Java (Entry Level) (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,5.0,"K, S",67,"Knowledge, Situational","Count Out The Money - Knowledge, Situational. Remote: Yes, Adaptive: Yes, Duration: 5.0 mins."
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,8.0,K,68,Knowledge,"CSS3 (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,7.0,K,69,Knowledge,"Culinary Skills (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,20.0,"B, S",70,"Behavior, Situational","Customer Service Phone Simulation - Behavior, Situational. Remote: Yes, Adaptive: No, Duration: 20.0 mins."
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,30.0,"B, P, S",71,"Behavior, Personality, Situational","Customer Service Phone Solution - Behavior, Personality, Situational. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,9.0,K,72,Knowledge,"Cyber Risk (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,Yes,No,4.0,S,73,Situational,"Data Entry (New) - Situational. Remote: Yes, Adaptive: No, Duration: 4.0 mins."
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,Yes,No,5.0,K,74,Knowledge,"Data Entry Alphanumeric Split Screen - US - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,Yes,No,5.0,K,75,Knowledge,"Data Entry Numeric Split Screen - US - Knowledge. Remote: Yes, Adaptive: No, Duration: 5.0 mins."
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,Yes,No,3.0,K,76,Knowledge,"Data Entry Ten Key Split Screen - Knowledge. Remote: Yes, Adaptive: No, Duration: 3.0 mins."
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,Yes,No,14.0,K,77,Knowledge,"Data Science (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 14.0 mins."
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,Yes,Yes,25.0,K,78,Knowledge,"Data Warehousing Concepts - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 25.0 mins."
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,Yes,No,10.0,P,79,Personality,"Dependability and Safety Instrument (DSI) - Personality. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,Yes,No,3.0,K,80,Knowledge,"Dermatology (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 3.0 mins."
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,Yes,No,8.0,K,81,Knowledge,"Desktop Support (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,Yes,No,7.0,K,82,Knowledge,"Digital Advertising (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,Yes,No,,P,83,Personality,"Digital Readiness Development Report - IC - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,Yes,No,,P,84,Personality,"Digital Readiness Development Report - Manager - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,Yes,No,10.0,K,85,Knowledge,"Docker (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,Yes,No,11.0,K,86,Knowledge,"Dojo (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,Yes,No,17.0,K,87,Knowledge,"Drupal (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 17.0 mins."
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,Yes,No,,P,88,Personality,"DSI v1.1 Interpretation Report - Personality. Remote: Yes, Adaptive: No, Duration: nan mins."
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,Yes,No,11.0,K,89,Knowledge,"Econometrics (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 11.0 mins."
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,Yes,No,13.0,K,90,Knowledge,"Economics (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 13.0 mins."
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,Yes,No,14.0,K,91,Knowledge,"Electrical and Electronics Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 14.0 mins."
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,Yes,No,8.0,K,92,Knowledge,"Electrical Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Electronics & Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-telecommunications-engineering-new/,Yes,No,15.0,K,93,Knowledge,"Electronics & Telecommunications Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 15.0 mins."
Electronics and Embedded Systems Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-embedded-systems-engineering-new/,Yes,No,18.0,K,94,Knowledge,"Electronics and Embedded Systems Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 18.0 mins."
Electronics and Semiconductor Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electronics-and-semiconductor-engineering-new/,Yes,No,7.0,K,95,Knowledge,"Electronics and Semiconductor Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
English Comprehension (New),https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,Yes,No,0.0,K,96,Knowledge,"English Comprehension (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 0.0 mins."
MFS 360 Enterprise Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-enterprise-leadership-report/,Yes,No,,D,97,D,"MFS 360 Enterprise Leadership Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Group Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-group-report/,Yes,No,,D,98,D,"MFS 360 UCF Group Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Performance Potential Dev Tips Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-performance-potential-dev-tips-report/,Yes,No,,D,99,D,"MFS 360 UCF Performance Potential Dev Tips Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
MFS 360 UCF Standard Report,https://www.shl.com/solutions/products/product-catalog/view/mfs-360-ucf-standard-report/,Yes,No,,D,100,D,"MFS 360 UCF Standard Report - D. Remote: Yes, Adaptive: No, Duration: nan mins."
Micro Focus Unified Functional Testing (New),https://www.shl.com/solutions/products/product-catalog/view/micro-focus-unified-functional-testing-new/,Yes,No,12.0,K,101,Knowledge,"Micro Focus Unified Functional Testing (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 12.0 mins."
Microservices (New),https://www.shl.com/solutions/products/product-catalog/view/microservices-new/,Yes,No,7.0,K,102,Knowledge,"Microservices (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Microsoft Dynamics Development (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-dynamics-development-new/,Yes,No,9.0,K,103,Knowledge,"Microsoft Dynamics Development (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Microsoft Excel 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,Yes,No,30.0,"K, S",104,"Knowledge, Situational","Microsoft Excel 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 30.0 mins."
Microsoft Excel 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,Yes,No,35.0,"K, S",105,"Knowledge, Situational","Microsoft Excel 365 (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 35.0 mins."
Microsoft Outlook 2013 (adaptive),https://www.shl.com/solutions/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,25.0,K,106,Knowledge,"Microsoft Outlook 2013 (adaptive) - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 25.0 mins."
Microsoft PowerPoint 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-powerpoint-365-essentials-new/,Yes,No,25.0,"K, S",107,"Knowledge, Situational","Microsoft PowerPoint 365 - Essentials (New) - Knowledge, Situational. Remote: Yes, Adaptive: No, Duration: 25.0 mins."
Microsoft SQL Server 2014 Programming,https://www.shl.com/solutions/products/product-catalog/view/microsoft-sql-server-2014-programming/,Yes,Yes,35.0,K,108,Knowledge,"Microsoft SQL Server 2014 Programming - Knowledge. Remote: Yes, Adaptive: Yes, Duration: 35.0 mins."
Executive Scenarios Profile Report,https://www.shl.com/solutions/products/product-catalog/view/executive-scenarios-profile-report/,Yes,No,,B,109,Behavior,"Executive Scenarios Profile Report - Behavior. Remote: Yes, Adaptive: No, Duration: nan mins."
ExpressJS (New),https://www.shl.com/solutions/products/product-catalog/view/expressjs-new/,Yes,No,7.0,K,110,Knowledge,"ExpressJS (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Filing - Names (R1),https://www.shl.com/solutions/products/product-catalog/view/filing-names-r1/,Yes,No,3.0,K,111,Knowledge,"Filing - Names (R1) - Knowledge. Remote: Yes, Adaptive: No, Duration: 3.0 mins."
Filing - Numbers,https://www.shl.com/solutions/products/product-catalog/view/filing-numbers/,Yes,No,3.0,K,112,Knowledge,"Filing - Numbers - Knowledge. Remote: Yes, Adaptive: No, Duration: 3.0 mins."
Financial Accounting (New),https://www.shl.com/solutions/products/product-catalog/view/financial-accounting-new/,Yes,No,9.0,K,113,Knowledge,"Financial Accounting (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Financial and Banking Services (New),https://www.shl.com/solutions/products/product-catalog/view/financial-and-banking-services-new/,Yes,No,9.0,K,114,Knowledge,"Financial and Banking Services (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 9.0 mins."
Fire Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/fire-engineering-new/,Yes,No,10.0,K,115,Knowledge,"Fire Engineering (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 10.0 mins."
Following Instructions v1 - UK (R1),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-uk-r1/,Yes,No,8.0,K,116,Knowledge,"Following Instructions v1 - UK (R1) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Following Instructions v1 - US (R2),https://www.shl.com/solutions/products/product-catalog/view/following-instructions-v1-us-r2/,Yes,No,8.0,K,117,Knowledge,"Following Instructions v1 - US (R2) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
Food and Beverage Services (New),https://www.shl.com/solutions/products/product-catalog/view/food-and-beverage-services-new/,Yes,No,7.0,K,118,Knowledge,"Food and Beverage Services (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Food Science (New),https://www.shl.com/solutions/products/product-catalog/view/food-science-new/,Yes,No,6.0,K,119,Knowledge,"Food Science (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 6.0 mins."
Front Office Management (New),https://www.shl.com/solutions/products/product-catalog/view/front-office-management-new/,Yes,No,7.0,K,120,Knowledge,"Front Office Management (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 7.0 mins."
Fundamentals of Chemistry (New),https://www.shl.com/solutions/products/product-catalog/view/fundamentals-of-chemistry-new/,Yes,No,8.0,K,121,Knowledge,"Fundamentals of Chemistry (New) - Knowledge. Remote: Yes, Adaptive: No, Duration: 8.0 mins."
